fecha_dia,FECHA_HORA_RDF,codigo_estacion,sentido_codigo,Hora_Codigo,Valor_Intensidad
,,,,HOR2,852
,,,,HOR3,620
,,,,HOR4,565
,,,,HOR5,652
,,,,HOR6,692
,,,,HOR7,686
,,,,HOR8,698
,,,,HOR9,709
,,,,HOR10,583
,,,,HOR11,552
,,,,HOR12,598
01/03/2025,2025-03-01T01:00:00,ES19,Este,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES19,Oeste,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES20,Norte,HOR1,5097
,,,,HOR2,4510
,,,,HOR3,2720
,,,,HOR4,1949
,,,,HOR5,1455
,,,,HOR6,1225
,,,,HOR7,1477
,,,,HOR8,2529
,,,,HOR9,3001
,,,,HOR10,4065
,,,,HOR11,5704
,,,,HOR12,6821
01/03/2025,2025-03-01T01:00:00,ES20,Sur,HOR1,8629
,,,,HOR2,9011
,,,,HOR3,9406
,,,,HOR4,9637
,,,,HOR5,7475
,,,,HOR6,7052
,,,,HOR7,7784
,,,,HOR8,7263
,,,,HOR9,6602
,,,,HOR10,6344
,,,,HOR11,5828
,,,,HOR12,5185
01/03/2025,2025-03-01T01:00:00,ES20,Este,HOR1,4215
,,,,HOR2,3255
,,,,HOR3,2049
,,,,HOR4,1399
,,,,HOR5,995
,,,,HOR6,1145
,,,,HOR7,1843
,,,,HOR8,3480
,,,,HOR9,4224
,,,,HOR10,5196
,,,,HOR11,6711
,,,,HOR12,7249
01/03/2025,2025-03-01T01:00:00,ES20,Oeste,HOR1,8343
,,,,HOR2,8616
,,,,HOR3,9562
,,,,HOR4,9311
,,,,HOR5,6408
,,,,HOR6,6655
,,,,HOR7,7895
,,,,HOR8,8893
,,,,HOR9,8802
,,,,HOR10,8654
,,,,HOR11,7048
,,,,HOR12,5171
01/03/2025,2025-03-01T01:00:00,ES21,Norte,HOR1,169
,,,,HOR2,126
,,,,HOR3,113
,,,,HOR4,89
,,,,HOR5,99
,,,,HOR6,103
,,,,HOR7,86
,,,,HOR8,140
,,,,HOR9,314
,,,,HOR10,350
,,,,HOR11,480
,,,,HOR12,481
01/03/2025,2025-03-01T01:00:00,ES21,Sur,HOR1,557
,,,,HOR2,514
,,,,HOR3,351
,,,,HOR4,321
,,,,HOR5,346
,,,,HOR6,392
,,,,HOR7,379
,,,,HOR8,410
,,,,HOR9,416
,,,,HOR10,336
,,,,HOR11,261
,,,,HOR12,291
01/03/2025,2025-03-01T01:00:00,ES21,Este,HOR1,292
,,,,HOR2,226
,,,,HOR3,186
,,,,HOR4,175
,,,,HOR5,171
,,,,HOR6,186
,,,,HOR7,217
,,,,HOR8,303
,,,,HOR9,627
,,,,HOR10,792
,,,,HOR11,1161
,,,,HOR12,1244
01/03/2025,2025-03-01T01:00:00,ES21,Oeste,HOR1,1365
,,,,HOR2,1091
,,,,HOR3,543
,,,,HOR4,597
,,,,HOR5,757
,,,,HOR6,1014
,,,,HOR7,1034
,,,,HOR8,1108
,,,,HOR9,876
,,,,HOR10,408
,,,,HOR11,329
,,,,HOR12,347
01/03/2025,2025-03-01T01:00:00,ES22,Norte,HOR1,676
,,,,HOR2,497
,,,,HOR3,432
,,,,HOR4,319
,,,,HOR5,254
,,,,HOR6,278
,,,,HOR7,362
,,,,HOR8,395
,,,,HOR9,458
,,,,HOR10,574
,,,,HOR11,682
,,,,HOR12,894
01/03/2025,2025-03-01T01:00:00,ES22,Sur,HOR1,951
,,,,HOR2,1135
,,,,HOR3,1122
,,,,HOR4,814
,,,,HOR5,757
